Track,Race#,Distance,Box,Dog Name,HistoricalPaceAvg,NumPaces,MostRecentPace,Best3RacePace,Last5PaceValues,RecentWins,RecentRaces,WinRate%,Last5Results,StartingPrice,PaceScore(0-1),FormScore(0-1),WeightedScore(0-1)
Angle Park,7,342,7,BINGO QUEEN,-18.334,5.0,-11.1235,-11.1235,-11.12|-17.36|-25.71|-18.19|-19.29,1,5,20.0,W5625,2.96,0.3248,0.2,0.2873
Angle Park,8,342,1,DON'T TALK BACK,-14.9695,5.0,-16.2755,-14.607,-16.28|-26.07|-14.61|-11.85|-6.04,0,5,0.0,66555,3.5,0.4089,0.0,0.2862
Angle Park,4,342,4,ADHANA JASPER,-15.0497,5.0,-12.5521,-12.5521,-12.55|-14.91|-14.78|-19.87|-13.13,0,5,0.0,23322,3.55,0.4069,0.0,0.2848
Geelong,13,400,5,ARKA AIR,-15.1151,5.0,-10.7739,-10.7739,-10.77|-18.12|-16.82|-21.43|-8.43,0,5,0.0,32768,4.8,0.4053,0.0,0.2837
Mandurah,4,300,1,TINY VIOLIN,-18.5868,5.0,-9.1557,-9.1557,-9.16|-15.07|-12.04|-32.83|-23.83,1,5,20.0,27W66,4.8,0.3184,0.2,0.2829
Mandurah,10,400,2,SUNSET VENDETTA,-15.2375,5.0,-18.5184,-6.8468,-18.52|-6.85|-14.3|-23.22|-13.3,0,5,0.0,84737,3.8,0.4022,0.0,0.2815
Angle Park,8,342,5,BONNIE DIVA,-15.2938,5.0,-11.8378,-11.8378,-11.84|-14.5|-17.62|-12.21|-20.3,0,5,0.0,24336,3.1,0.4008,0.0,0.2806
Mandurah,3,400,6,DODGY SONNY,-18.9473,5.0,-14.947,-12.5788,-14.95|-12.58|-14.69|-25.69|-26.83,1,5,20.0,W3237,4.2,0.3094,0.2,0.2766
Bulli,1,340,2,JUST MARG,-15.751,5.0,-18.2984,-9.6043,-18.3|-9.6|-21.41|-18.97|-10.47,0,5,0.0,54363,2.22,0.3894,0.0,0.2725
Gosford,12,388,6,I'M EXHIBIT TWO,-16.2871,5.0,-17.8353,-14.3492,-17.84|-14.35|-19.58|-14.84|-14.83,0,5,0.0,25867,2.58,0.3759,0.0,0.2632
Gosford,1,388,8,ZIPPING TY,-16.365,5.0,-20.3488,-14.9035,-20.35|-15.44|-14.9|-17.19|-13.94,0,5,0.0,73457,2.66,0.374,0.0,0.2618
Angle Park,7,342,5,FANCY IN DESIGN,-19.903,5.0,-14.9807,-14.9807,-14.98|-26.91|-27.16|-10.56|-19.9,1,5,20.0,365W2,4.9,0.2855,0.2,0.2599
Angle Park,8,342,4,GLENAGEARY,-16.801,5.0,-15.9807,-15.9807,-15.98|-23.65|-27.21|-10.61|-6.55,0,5,0.0,36535,4.8,0.3631,0.0,0.2542
Mandurah,3,400,2,SUNSET VANADIUM,-17.0165,5.0,-25.3756,-13.4359,-25.38|-13.44|-16.83|-20.98|-8.46,0,5,0.0,34322,2.9,0.3577,0.0,0.2504
Q1 Lakeside,1,457,6,NAUGHTY BROOKE,-17.4781,5.0,-28.2827,-13.9655,-28.28|-13.97|-17.81|-17.13|-10.2,0,5,0.0,62325,4.9,0.3462,0.0,0.2423
Angle Park,3,342,7,WATCH ME DESIGN,-17.7268,5.0,-15.7455,-15.7455,-15.75|-16.0|-18.7|-20.1|-18.09,0,5,0.0,53632,2.56,0.3399,0.0,0.238
Mandurah,2,400,4,BLUE DENIM,-18.4633,5.0,-23.947,-9.4359,-23.95|-9.44|-17.12|-29.55|-12.27,0,5,0.0,52453,4.2,0.3215,0.0,0.2251
Mandurah,6,488,8,SZYSLAK,-19.6308,5.0,-21.4064,-11.8953,-21.41|-11.9|-23.15|-28.15|-13.55,0,5,0.0,22724,3.2,0.2923,0.0,0.2046
